SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
131,121,161,Jamnagar,Kalavad,Und-III,Sau,UG,106.6,110.6,107.74,4.69,3.89,0.80,1.38,0.58,0.80,29.42%,25,165,NIL,0,0,0
129,116,150,Jamnagar,Lalpur,Fulzar-II,Sau,UG,47.55,52.12,49.75,3.10,2.83,0.27,1.02,0.75,0.27,32.90%,35,205,NIL,420,0,0
115,102,151,Jamnagar,Lalpur,Puna,Sau,UG,19.81,24.39,22.86,7.83,7.77,0.06,3.44,3.38,0.06,43.93%,30,130,NIL,100,0,0
132,120,152,Jamnagar,Lalpur,Rupavati,Sau,UG,72.75,77.3,73.8,2.76,2.63,0.13,0.36,0.23,0.13,13.04%,90,255,NIL,150,0,0
121,96,153,Jamnagar,Lalpur,Sasoi,Sau,UG,22.25,28.95,27.64,37.97,37.97,0.00,24.83,24.83,0.00,65.39%,40,160,NIL,3643,0,0
119,205,154,Jamnagar,Lalpur,Sasoi-II,Sau,UG,100,104.4,100.8,2.43,2.02,0.41,0.51,0.10,0.41,20.99%,70,170,NIL,50,0,0
140,139,97,Junagadh,Bhesan,Mota-Gujariya,Sau,UG,132.77,140.02,138.35,7.64,7.55,0.09,3.96,3.87,0.09,51.83%,10,305,NIL,0,0,0
136,128,101,Junagadh,Bhesan,Uben,Sau,UG,100.61,107.61,102.74,16.20,15.60,0.60,2.28,1.68,0.60,14.07%,31,168,NIL,80.44,0,0
149,131,102,Junagadh,Junagadh,Hasanapur,Sau,UG,137.77,148.13,145.69,8.40,8.19,0.21,5.34,5.13,0.21,63.57%,40,250,NIL,153.13,0,0
148,132,98,Junagadh,Junagadh,Ozat-II,Sau,G,72.5,77.5,76.2,36.20,27.71,8.49,27.03,18.54,8.49,74.67%,95,453,WARNING,874,874,0
146,133,105,Junagadh,Maliya Hatina,Vrajmi,Sau,G,84.6,94,84.57,10.35,10.10,0.25,0.25,0.00,0.25,2.42%,26,324,NIL,0,0,0
143,136,106,Junagadh,Manavadar,Bantva-Kharo,Sau,G,13.8,16.25,16,6.68,5.76,0.92,5.62,4.71,0.92,84.13%,90,350,ALERT,998,998,0
137,140,91,Junagadh,Mendarda,Hiran-I,Sau,UG,31.24,44.2,39.59,20.22,19.64,0.58,9.25,8.67,0.58,45.75%,8,443,NIL,0,0,0
147,129,103,Junagadh,Mendarda,Madhuvanti,Sau,UG,149.65,165.19,161.45,11.65,11.30,0.35,5.58,5.23,0.35,47.90%,51,362,NIL,75.61,0,0
142,137,99,Junagadh,Vanthali,Ozat-Weir,Sau,G,29.8,32.8,30.4,1.95,1.88,0.07,0.21,0.14,0.07,10.77%,82,467,NIL,5120.68,5120.68,0
141,138,100,Junagadh,Vanthali,Ozat-Weir(Vanthali),Sau,G,25,27.5,25.75,1.79,1.54,0.25,0.56,0.31,0.25,31.28%,70,413,NIL,5403.19,5403.19,0
138,198,104,Junagadh,Vanthali,Sabali,Sau,G,39.05,43.75,41.49,7.20,6.14,1.06,2.79,1.73,1.06,38.75%,40,367,NIL,268,0,0
145,134,94,Junagadh,Visavadar,Ambajal,Sau,G,171.8,182.31,180.25,10.55,9.60,0.95,7.21,6.26,0.95,68.34%,10,346,NIL,0,0,0
144,135,95,Junagadh,Visavadar,Draphad,Sau,G,117.5,124,122.5,9.62,9.29,0.33,5.85,5.52,0.33,60.81%,12,240,NIL,0,0,0
