SchemeId,District,Taluka,Name of Schemes,Region,Type (Gated/Ungated/FuseGate),Overflow Spillway Level (m),Full Reservoi Level (m),Gross Storage (MCM),Live Storage (MCM),Dead Storage (MCM)
128,Junagadh,Bhesan,Uben,Sau,UG,100.61,107.61,16.2,15.6,0.6
131,Junagadh,Junagadh,Hasanapur,Sau,UG,137.77,148.13,8.4,8.19,0.21
132,Junagadh,Junagadh,Ozat-II,Sau,G,72.5,77.5,36.2,27.71,8.49
133,Junagadh,Maliya Hatina,Vrajmi,Sau,G,84.6,94,10.35,10.1,0.25
136,Junagadh,Manavadar,Bantva-Kharo,Sau,G,13.8,16.25,6.68,5.76,0.92
140,Junagadh,Mendarda,Hiran-I,Sau,UG,31.24,44.2,20.22,19.64,0.58
129,Junagadh,Mendarda,Madhuvanti,Sau,UG,149.65,165.19,11.65,11.3,0.35
137,Junagadh,Vanthali,Ozat-Weir,Sau,G,29.8,32.8,1.95,1.88,0.07
138,Junagadh,Vanthali,Ozat-Weir(Vanthali),Sau,G,25,27.5,1.79,1.54,0.25
198,Junagadh,Vanthali,Sabali,Sau,G,39.05,43.75,7.2,6.14,1.06
134,Junagadh,Visavadar,Ambajal,Sau,G,171.8,182.31,10.55,9.6,0.95
135,Junagadh,Visavadar,Draphad,Sau,G,117.5,124,9.62,9.29,0.33
141,Junagadh,Visavadar,Jhanjeshri,Sau,UG,140.15,149.96,10.03,9.79,0.24
130,Junagadh,Visavadar,Prempara,Sau,UG,120.5,127.5,1.33,1.27,0.06
60,Kachchh,Abdasa,Berachia,Kutch,UG,65.7,70.4,6.86,5.51,1.35
58,Kachchh,Abdasa,Jangdia,Kutch,UG,34.7,38.6,9.04,6.85,2.19
52,Kachchh,Abdasa,Kankawati,Kutch,UG,123.74,131.67,10.51,9.83,0.68
64,Kachchh,Abdasa,Mitti,Kutch,UG,14.45,18.65,20.24,16.27,3.96
45,Kachchh,Anjar,Tappar,Kutch,G,29.87,40.85,49.03,48.79,0.24
54,Kachchh,Bhuj,Kaila,Kutch,UG,65.24,79.25,8.54,8.54,0
56,Kachchh,Bhuj,Kaswati,Kutch,UG,43.89,51.2,8.2,7.96,0.24
48,Kachchh,Bhuj,Rudramata,Kutch,UG,54.55,66.44,59.92,54.97,4.95
46,Kachchh,Lakhpat,Godhatad,Kutch,UG,16.35,23,13.99,12.69,1.3
49,Kachchh,Lakhpat,Nara,Kutch,UG,18.28,27.43,39.7,38.21,1.49
47,Kachchh,Lakhpat,Sanandro,Kutch,UG,51.2,59.75,10.35,10.1,0.25
63,Kachchh,Mandvi,Don,Kutch,UG,44.6,47.75,2.28,1.39,0.89
57,Kachchh,Mundra,Gajod,Kutch,UG,82.3,90.85,7.71,7.37,0.34
62,Kachchh,Mundra,Kalaghogha,Kutch,UG,31.5,37,4.98,4.26,0.72
51,Kachchh,Nakhatrana,Bhukhi,Kutch,UG,62.05,73,15.58,14.58,1
61,Kachchh,Nakhatrana,Gajansar,Kutch,UG,26.21,30,5.98,3.9,2.08
53,Kachchh,Nakhatrana,Mathal,Kutch,UG,73.44,83.18,12.29,11.19,1.1
50,Kachchh,Nakhatrana,Niruna,Kutch,UG,34.44,43.58,27.17,22.98,4.19
59,Kachchh,Rapar,Fatehgadh,Kutch,UG,19.5,22.7,4.04,3.99,0.05
55,Kachchh,Rapar,Suvi,Kutch,UG,38.1,42.67,8.85,8.13,0.71
202,Kheda,Kapadvanj,Varansi,CG,G,78,81,3.18,2.62,0.56
13,Mahesana,Satlasana,Dharoi,NG,G,175.87,189.59,813.14,745.63,67.51
