SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
23,22,24,Dahod,Singvad,Kabutari,CG,UG,180.6,186.3,185.75,9.58,8.07,1.51,8.16,6.65,1.51,85.18%,0,310,ALERT,245,0,0
24,26,17,Dahod,Zalod,Kali - II,CG,UG,250,257,257.1,14.52,10.91,3.61,14.52,10.91,3.61,100%,0,135,HIGHALERT,353,353,0
22,21,18,Dahod,Zalod,Machchhanala,CG,UG,271.31,277.64,275.7,27.75,21.82,5.93,18.21,12.28,5.93,65.62%,2,178,NIL,0,0,0
108,123,137,DevbhumiDwarka,Bhanvad,Kabarka,Sau,UG,92.2,96.85,92.45,4.30,4.06,0.24,0.30,0.06,0.24,6.98%,30,305,NIL,0,0,0
100,195,131,DevbhumiDwarka,Bhanvad,Minsar (V),Sau,UG,85.5,91.8,90.02,5.85,5.54,0.31,2.82,2.51,0.31,48.21%,0,325,NIL,0,0,0
103,115,141,DevbhumiDwarka,Bhanvad,Sonmati,Sau,FG,72,78.5,77.65,7.40,7.09,0.31,5.31,5.00,0.31,71.76%,5,335,WARNING,270,0,0
109,100,138,DevbhumiDwarka,Bhanvad,Vartu-I,Sau,UG,32,39.01,33.8,11.83,11.59,0.24,0.99,0.75,0.24,8.37%,0,320,NIL,0,0,0
102,109,142,DevbhumiDwarka,Bhanvad,Vartu-II,Sau,G,31.75,39.95,35.15,25.60,24.03,1.57,5.65,4.08,1.57,22.07%,0,270,NIL,280,0,0
105,118,139,DevbhumiDwarka,Bhanvad,Veradi,Sau,UG,80,85.15,83.3,6.42,6.31,0.11,2.90,2.79,0.11,45.17%,10,315,NIL,343,0,0
99,194,140,DevbhumiDwarka,Bhanvad,Veradi-II,Sau,UG,57.6,65.4,62.38,9.79,9.57,0.22,3.24,3.02,0.22,33.09%,10,340,NIL,130,0,0
110,95,147,DevbhumiDwarka,Jamkalyanpur,Sani,Sau,G,13.65,17.25,11.15,39.02,32.18,6.84,0.32,0.00,0.32,0.82%,0,610,NIL,0,0,0
104,117,146,DevbhumiDwarka,Jamkalyanpur,Shedhabhadthari,Sau,UG,28,32.5,26.5,5.62,4.99,0.63,0.22,0.00,0.22,3.91%,0,265,NIL,0,0,0
101,104,145,DevbhumiDwarka,Jamkhambhalia,Gadhaki,Sau,UG,25.1,30,27,9.34,9.14,0.20,1.41,1.21,0.20,15.10%,25,395,NIL,90,0,0
107,97,149,DevbhumiDwarka,Jamkhambhalia,Ghee,Sau,UG,34.44,40.54,38.05,10.97,10.89,0.08,3.71,3.63,0.08,33.82%,35,315,NIL,110,0,0
106,122,148,DevbhumiDwarka,Kalyanpur,Sindhani,Sau,UG,13,16.35,14.85,8.73,7.96,0.77,3.75,2.98,0.77,42.96%,0,455,NIL,0,0,0
114,127,89,Gir Somnath,Gir-Gadhada,Machhundri,Sau,UG,99.5,109.5,107.4,31.84,26.70,5.14,23.03,17.89,5.14,72.33%,0,320,WARNING,316,0,0
113,126,88,Gir Somnath,Gir-Gadhada,Raval,Sau,G,129.85,148.85,142.455,26.73,24.00,2.73,14.21,11.48,2.73,53.16%,0,278,NIL,0,0,0
112,124,90,Gir Somnath,Gir-Gadhada,Shingoda,Sau,G,122.78,141.58,140.23,36.40,36.07,0.33,29.43,29.10,0.33,80.85%,0,482,ALERT,542,542,0
111,125,92,Gir Somnath,Talala,Hiran-II,Sau,G,62.42,71.26,68.31,38.58,35.02,3.56,20.25,16.69,3.56,52.49%,12,314,NIL,348,0,0
124,106,164,Jamnagar,Dhrol,Und-II,Sau,G,14.5,18.25,12.15,37.12,32.87,4.25,0.55,0.00,0.55,1.48%,0,375,NIL,0,0,0
117,99,132,Jamnagar,Jamjodhpur,Dia-Minsar,Sau,UG,71.5,75.4,71.74,11.11,8.87,2.24,2.69,0.45,2.24,24.21%,0,320,NIL,0,0,0
